「実験心理学の父」と呼ばれるドイツ人心理学者。内観法を重視した。,ヴィルヘルム・ヴント,
バレエの名を冠した史上最初の作品。アンリ2世の妃カトリーヌ・ド・メディシスの命により，ジョアイユーズ公とマルグリット姫の婚約を祝うために，1581年パリのブルボン宮でバルタザール・ド・ボージョアイユの演出で上演された。,王妃のバレエ・コミック（バレエ・コミック・ドラ・レーヌ）,
ドイツ・ロマン派の作曲家。妻のクララも音楽家として有名。代表曲は『謝肉祭』『トロイメライ（子供の情景）』、交響曲第３番『ライン』など。,ロベルト・シューマン,
イタリアのオペラ作曲家。代表作は『セビリアの理髪師』『泥棒かささぎ』『ウィリアム・テル』など。,ジョアキーノ・ロッシーニ,
ドイツの古典・ロマン派の作曲家。代表作は交響曲第3番『エロイカ（英雄）』、第5番『運命』、第6番『田園』、第9番『合唱付き』、ピアノソナタ第8番『悲愴』、第14番『月光』、第17番『テンペスト』、第23番『熱情』、『エリーゼのために』、オペラ『フィデリオ』など。難聴に悩まされ「ハイリゲンシュタットの遺書」を書いた。,ルートヴィヒ・ヴァン・ベートーヴェン,
フランスの国歌。元々はルージェ・ド・リールが『ライン軍軍歌』として作詞・作曲したもの。,ラ・マルセイエーズ,
ロシア国民楽派「五人組」の一人。代表曲は『シェヘラザード』『熊蜂の飛行』など。,リムスキー・コルサコフ,
ドイツのオペラ作曲家。オペラの台本も自ら執筆した。代表作は『タンホイザー』『ローエングリン』『ニーベルングの指環』など。毎夏行われるバイロイド音楽祭では彼の作品のみが上演される。,リヒャルト・ワーグナー,
ドイツ・ロマン派の作曲家。代表作はオペラ『サロメ』『ばらの騎士』や交響詩『ツァラトゥストラはかく語りき』など。,リヒャルト・シュトラウス,
フランスの作曲家。代表作は『クラブサン曲集』やオペラ『ピグマリオン』など。,ジャン＝フィリップ・ラモー,
ロシア帝国の作曲家・ピアニスト。代表作は『パガニーニの主題による狂詩曲』や『死の鳥』など。アメリカで活動した。,セルゲイ・ラフマニノフ,
ルネサンス・フランドル楽派の作曲家。パレストリーナと共に後期ルネサンスを代表する。『シビラの予言』などが知られる。,オルランドゥス・ラッスス,
フランスの作曲家。代表曲は『ボレロ』や『スペイン狂詩曲』など。,モーリス・ラヴェル,
ドイツ・バロックの作曲家。「音楽の父」と呼ばれる。代表曲は『トッカータとフーガ』『G線上のアリア』『マタイ受難曲』『主よ、人の望みの喜びよ』など。その作品はBWV（シュミーダー）番号で整理されている。,ヨハン・ゼバスティアン・バッハ,
正式名称を「国連教育科学文化機関」という、パリに本部を置く国際連合の専門機関。第二次世界大戦中に亡命していた諸国政府の文部大臣が開催した会議に端を発する。第8代事務局長を日本人の松浦晃一郎が務めたことでも知られる。,UNESCO,
正式名称を「国際記念物遺跡会議」という、UNESCOの諮問機関。1964年に採択されたヴェネツィア憲章（記念物と遺跡の保存に関する国際憲章）を受けて設立された。世界遺産条約に基づき、文化遺産の登録の可否を審査する役割を果たす。,ICOMOS,
スイスのグランに本部を置く、自然保護団体。正式名称を「国際自然保護連合」という。世界自然遺産の登録の可否を審査する役割を持つほか、レッド・データ・ブックを作成した組織としても知られる。,IUCN,
世界遺産において、資産を保護するためにその周囲に設けられる利用制限区域のこと。,緩衝地帯（バッファーゾーン）,
世界遺産において、それを構成する資産のこと。その周囲に設けられる緩衝地帯に対して定義される。,核心地域（コアゾーン）,
国境線を越えて多国間に広がる世界遺産のこと。「ル・コルビュジェの建築作品」や「シュトルーヴェの測地弧」などがこれにあたる。,トランスバウンダリー・サイト,
文化や歴史的背景などが共通する地理的に離れた資産を一つの世界遺産と見做して登録すること、またはその遺産。「福建土楼群」や「明治日本の産業革命遺産」などがこれにあたる。,シリアル・ノミネーション・サイト,
これまで人類が残してきた貴重な文書や写真などを保存し、広く公開することを目的とする、UNESCOの事業の一つ。アンネ・フランクの日記やベートーヴェンの交響曲第九番の自筆譜などがこれに選定された。,世界の記憶,
画像付き。アメリカ・ワイオミング州にある世界初の国立公園で、初めて世界遺産登録された12のうちの1つ。グランド・プリズマティック・スプリングやオールドフェイスフルなどが有名。,イエローストーン国立公園,images/bot/yel.jpg
画像付き。「アフリカの天井」の異名を持つエチオピアの国立公園で、初めて世界遺産登録された12のうちの1つ。ゲラダヒヒやワリアアイベックスなどの珍獣が生息している。,シミエン国立公園,images/bot/sem.jpg
初めて世界遺産登録された12のうちの1つとして知られる、エクアドルの諸島。。フィンチやイグアナなどの固有種が栄えており、チャールズ・ダーウィンに進化論の着想を与えたことで有名。その名前は、スペイン語で「カメ」の意。,ガラパゴス諸島,
初めて世界遺産登録された12のうちの1つとして知られる、エクアドルの首都。かつてはインカ帝国第二の都市として栄えた。,キト,
ポーランドに位置する世界最古の岩塩坑で、初めて世界遺産登録された12のうちの1つ。その内部には塩でできた『最後の晩餐』などが飾られた礼拝堂がある。のちに範囲が拡大されてボフニャの岩塩坑も世界遺産登録された。ポーランド王子との結婚に乗り気でなかった聖キンガが結婚指輪を投げ捨てた場所から発見された、という伝説が残る。,ヴィエリチカ岩塩坑,
初めて世界遺産登録された12のうちの1つとして知られる、セネガルの島。19世紀まで三角貿易の拠点として栄えた。現在は奴隷貿易のシンボルともいえる「奴隷の家」が博物館として一般公開されている。,ゴレ島,
初めて世界遺産登録された12のうちの1つとして知られる、カナダの国立歴史公園。西暦1000年ごろに北欧から渡来したヴァイキングの集落跡が残ることから、北アメリカにおける最初のヨーロッパ人の入植地と見做されている。,ランス・オー・メドー国立歴史公園,
画像付き。ヒマラヤ山脈に分布する、背丈が1~2mにもなる高山植物。光を通す苞葉によって花が覆われていることから温室植物と呼ばれる。,セイタカダイオウ,images/bot/seitaka.jpg
画像付き。オーストラリアに生息するヤマモガシ科の植物。普段は固い殻に包まれているが山火事で焼かれると殻が開いて中から種子が出てくる、山火事を利用して子孫を増やすという特異な性質を持つ。,バンクシアのなかま,images/bot/bank.jpg
画像付き。「タンポポモドキ」と呼ばれるキク科の植物。,ブタナ,images/bot/butana.jpg
画像付き。春の七草の「ホトケノザ」は本種を指しているとされる。,コオニタビラコ（タビラコ）,images/bot/kooni.jpg
画像付き。漢字では「春紫苑」と書く、キク科の植物。,ハルジオン,images/bot/haruzi.jpg
画像付き。漢字では「野罌粟」と書く、キク科の植物。,ノゲシ（ハルノゲシ）,images/bot/nogesi.jpg
画像付き。春の七草の「ゴギョウ」にあたる、キク科の植物。,ハハコグサ（母子草）,images/bot/gogyou.jpg
雑草対策や乾燥防止などのために植える植物。踏まれても大丈夫だったり、日陰でも育ったりする特性を持つものが利用される。,グランドカバー,
画像付き。英語で「ダンデライオン」と呼ばれる、キク科の帰化植物。日本のどこでも見られる。,セイヨウタンポポ,images/bot/dande.jpg
訓読みは「あげまき」、音読みは「ア」、部首は「丨」の漢字。,丫,
秘伝書や教科書などを意味する言葉。中国の兵法書『六韜』の「虎韜」という巻に由来する。,虎の巻,
行き詰まりや膠着状態を表す英単語。本来は錠前を意味する言葉だが、暗礁を意味するロックと混同されて使われるようになった。,デッドロック（deadlock）,
日本語では「金言」とも訳される、ヒポクラテスの「芸術は長く人生は短し」などのような警句のこと。,アフォリズム,
ラテン語で「志」という意味を持つ、主に企業において従業員が心掛けるべき信条という意味で使われる言葉。,クレド,
広く日本を指す古称。神武天皇が国土を一望してその形をトンボに例えたことが由来とされる。,秋津島,
古代ゲルマン人による最古のアルファベット。魔術や迷信など呪術的な意味合いでも用いられた。,ルーン文字,
イギリス・労働階級に特徴的な訛りの強いアクセントのこと。ミュージカル『マイ・フェア・レディ』の花売り娘イライザによるものが有名。,コックニーアクセント,
イギリス英語における伝統的な事実上の標準発音。日本語では「容認発音」という。,"RP,クイーンズイングリッシュ",
異なる言語圏間において商人などによって自然に作り上げられた、意思疎通のための接触言語。,ピジン言語,
異なる言語が接触してできた混成語のうち、母語として話されているもの。,クレオール言語,
「文化人類学の父」とも称されるイギリスの学者。著書『原始文化』の中でアニミズムを提唱し宗教の起源を論じた。,エドワード・タイラー,
ある食べ物を摂取した後に体調不良に陥るとその食べ物を嫌悪するようになる、という現象。「味覚嫌悪学習」とも。,ガルシア効果,
人間の赤ちゃんや幼い動物など可愛いものを見たときに起こる、噛みつきたくなるような攻撃的衝動。,キュートアグレッション,
ネコの鳴き声が人の赤ん坊の声に聞こえたり、月の模様がウサギに見えたりするなど、対象を実際とは異なって知覚してしまうこと。,パレイドリア,
愛と憎しみなど相反する感情を同時に抱くことを指す心理学用語。スイスの精神医学者オイゲン・ブロイラーが提唱した。,アンビバレンス,
生得的に高度な感受性を持った人のこと。刺激に対して「深い認知的処理」と「高い情動的反応」を持つという特徴がある。,HSP（Highly Sensitive Person）,
他国に輸出・供与する兵器において、意図的に性能や機能を低下させたもの。,モンキーモデル,
企業と密接な関係にある銀行が資金の供給・事業への介入などを行う制度。日本に特有とされる。,メインバンク制度,
アメリカの経済学者ミルトン・フリードマンらによって提唱された、ケインズ経済学による財政金融政策を批判し、貨幣増加率の固定化を主張する立場。,マネタリズム,
血で血を洗うような競争の激しい既存市場のこと。競争のない「ブルーオーシャン」に対して言う。,レッドオーシャン,
日本語では「埋没費用」と呼ばれる、すでに支出されて回収が不可能になった費用のこと。,サンク・コスト,
東京証券取引所一部上場のすべての日本企業を対象として算出される株価指数。,TOPIX（東証株価指数、Tokyo stock price index）,
入札のたびに手数料が必要になる形式のインターネットオークション。,ペニーオークション,
企業・事業の合併や買収のこと。,M&A,
「複合企業」とも呼ばれる、異業種の会社を複数統合した巨大企業グループのこと。,コングロマリット,
M&Aの際に発生する買収額と買収先の企業の純資産との差額。,のれん代,
経営体力のない企業が存続していけるように業界全体をコントロールしていく保護政策。バブルが崩壊するまで旧大蔵省によって行われていた。,護送船団方式,
バブル崩壊後に日本で行われた、自由で公正な開かれた市場を目指す大規模な金融制度改革。その名前は、これに先んじて英国のサッチャーが行った証券制度改革の呼び名に因む。,金融ビッグバン,
日本語では「企業連合」と呼ばれる、競争関係にある同種の企業が価格などで競争を回避するために結ぶ協定。,カルテル,
日本語では「企業合同」と呼ばれる、同一業種の複数の企業が合併することなどにより１つの大きな企業になる経営形態。,トラスト,
1つの企業が他の企業を実質上の支配下に置くことで生まれる企業の統一体。,コンチェルン,
権力が特定部門に集中するのを避け、各部門で相互の均衡を図ること。特にアメリカで採用されている政治の基本原則を指す。,チェック・アンド・バランス,
風俗営業の取り締まりや交通規制、自動車の運転免許管理などの業務を行っている合議制の行政機関。昭和22年に警察の民主化と政治的中立を図る目的で設置された。,公安委員会,
破壊的団体の規制に関する調査や処分の請求などを行う法務省の外局。1952年の破壊活動防止法に伴って設置された。,公安調査庁,
暴力主義的活動を行った団体に対する規制措置を定め、公共の安全の確保に寄与することを目的とする法律。1961年の三無事件で初めて適用された。,破壊活動防止法,
「お巡りさん」として知られる警察の階級。,巡査,
テロ・ゲリラ行為の防止や要人の警護など、公共の安全と秩序の維持を目的とする警察の部門。「警備警察」の俗称。,公安警察,
筒状の容器の両端に配置したウランを衝突させる方式の核爆弾。広島に投下された原子爆弾に使用された。,ガンバレル型,
知的創作物に知的財産権が発生していない状態。日本語では「公有」とも呼ばれる。,パブリックドメイン,
強い立場にある者が弱い立場にある者の利益のためだとして本人の意思は問わずに介入・干渉すること。未成年者飲酒禁止法などに代表される。,パターナリズム,
2001年の中央省庁再編で経済産業省に名前を変えた省。それ以前は商工省だった。,通商産業省,
2001年の中央省庁再編で総務省に統廃合された3つの省庁。,総務庁、郵政省、自治省,
2001年の中央省庁再編で文部科学省に統合された2つの省庁。,文部省、科学技術庁,
2001年の中央省庁再編で国土交通省に統合された4つの省庁。,運輸省、建設省、国土庁、北海道開発庁,
特定の人権規定は法的な効力を持たず、国家はその実現に努めれば良いとする学説。ドイツのワイマール憲法下において提唱された。日本国憲法では生存権などについてその考え方が採用されている。,プログラム規定説,
法律によって権利義務の主体となることを認められた自然人以外の「人」のこと。,法人,
軽犯罪などを犯した者を1日以上30日未満の範囲で監獄内に拘禁する、自由刑の一種。,拘留,
受刑者を監獄内に拘禁するだけでなく、作業を強制的に科す、自由刑の一種。,懲役,
受刑者を監獄内に拘禁するだけで，労働を強制しない自由刑のこと。,禁錮,
「ワルツ王」と呼ばれたオーストリアの作曲家。代表曲は『皇帝円舞曲』『美しく青きドナウ』など。,ヨハン・シュトラウス2世,
オーストリアの作曲家。「ワルツ王」と称される息子に対して「ワルツの父」と呼ばれる。代表曲は『ラデツキー行進曲』『アンネン・ポルカ』など。,ヨハン・シュトラウス1世,
ドイツの作曲家。ロンドンにおいてヘンデルの後継者となったことから「ロンドンのバッハ」と呼ばれる。また、カール・フリードリヒ・アーベルと共に公開演奏会を開いた。,ヨハン・クリスティアン・バッハ,
ドイツの作曲家。近代的交響曲や協奏曲の基礎を築きマンハイム楽派の創始者となった。代表曲は『シンフォニア』など。,ヨハン・ヴェンツェル・シュターミッツ,
ドイツの・ロマン派の音楽家。代表曲は『大学祝典序曲』『ハンガリー舞曲』など。,ヨハネス・ブラームス,
オペラ・セリアの様式を確立したイタリアの詩人。代表作は『見捨てられたディドーネ』や『ウーティカのカトー』など。,ピエトロ・メタスタージオ,
フランスの作曲家。ガムラン音楽や小鳥の声などを利用した作品を多く制作した。代表曲は『トゥランガリラ交響曲』など。,オリヴィエ・メシアン,
ピアノ曲『展覧会の絵』やオペラ『ボリス・ゴドゥノフ』などの作品で知られる。,モデスト・ペトローヴィチ・ムソルグスキー,
オーストリアの作曲家・指揮者。代表曲は交響曲第八番『千人の交響曲』や第一番『巨人』など。,グスタフ・マーラー,
ロシア五人組の一人に数えられる作曲家・化学者。リムスキー・コルサコフらによって補筆された未完のオペラ『イーゴリ公』などで知られる。,アレクサンドル・ボロディン,
イギリスの作曲家。組曲『惑星』がよく知られる。,グスタフ・ホルスト,
ドイツ生まれのイギリスの音楽家。バッハと同年の1685年に生まれた。代表曲は『水上の音楽』や『メサイア』など。,ゲオルク・フリードリヒ・ヘンデル,
イタリアの作曲家。オペラ・セリア『誇り高い囚人』の中で幕間劇『奥様になった女中』を上演して大成功を収め、パリでの上演ではブフォン論争を引き起こすきっかけとなった。,ジョヴァンニ・B・ペルゴレージ,
イタリアの出版業者。植字印刷方式の楽譜印刷を初めて成功させ、多声音楽の曲集を初めて出版した。,オッタヴィアーノ・ペトルッチ,
芸術家集団カメラータの一員として活動した、イタリアの音楽家。現存する世界最古のオペラ『エウリディーチェ』を作曲した。,ヤコボ・ペーリ,
ソ連の作曲家。物語『ピーターと狼』やバレエ音楽『ロミオとジュリエット』などで知られる。,セルゲイ・プロコフィエフ,
「ピアノの詩人」と呼ばれるポーランドの作曲家。代表曲は『革命のエチュード』や『幻想即興曲』、『別れの曲』など。その名を冠した国際ピアノコンクールはピアニストの登竜門として世界有数の権威を誇る。,フレデリック・ショパン,
ハンガリーのピアニスト。交響詩を確立した功績でも知られる。代表曲に『パガニーニによる大練習曲』や『ハンガリー狂詩曲』など。,フランツ・リスト,
オーリック、プーランク、タイユフェール、ミヨー、オネゲル、デュレによる作曲家グループ。ロシア五人組になぞられた。エリック・サティがその後見人を引き受けた。,フランス６人組,
イタリアの作曲家。代表作は『ラ・ボエーム』や『トスカ』、『蝶々夫人』など。,ジャコモ・プッチーニ,
ドイツの作曲家。代表曲は『ヴァイオリン協奏曲』や『夏の夜の夢』など。,フェリックス・メンデルスゾーン,
ロシアの作曲家。代表曲はバレエ音楽『白鳥の湖』『眠りの森の美女』『くるみ割り人形』など。その名を冠したコンクールはバイオリン、ピアノ、チェロ、声楽の4部門からなり、世界三大コンクールの一つに数えられる。,ピョートル・チャイコフスキー,
フランスの作曲家。代表作は『アルルの女』や『カルメン』など。,ジョルジュ・ビゼー,
ドイツの作曲家。その代表曲『わが心思い乱れ』がバッハの『マタイ受難曲』に転用されたことで知られる。,ハンス・レーオ・ハスラー,
ワーグナーの楽劇『ニュルンベルクのマイスタージンガー』のモデルになった、ドイツの詩人・音楽家。『ウィッテンベルクのナイチンゲール』などの詩で知られる。,ハンス・ザックス,
現代的ハンガリー音楽を確立した、ハンガリーの作曲家。代表曲は『青髭公の城』『ミクロコスモス』など。,バルトーク・ベーラ,
代表曲に『3つのヴァイオリンと通奏低音のためのカノンとジーグ ニ長調』がある、ドイツのオルガン奏者・作曲家は誰でしょう？,ヨハン・パッヘルベル,
「交響曲の父」と称される、オーストリア・古典派の音楽家。代表曲はオラトリオ『天地創造』や弦楽四重奏『皇帝』など。,フランツ・ヨーゼフ・ハイドン,
アメリカの音楽家・指揮者。ミュージカル『ウェストサイド物語』などの作品で知られる。,レナード・バーンスタイン,
イギリスの作曲家。イギリス人による初の本格的なオペラ『ディドとアエネアス』を制作し、イギリスのバロック音楽を創出した。,ヘンリー・パーセル,
イタリアのヴァイオリニスト。「悪魔的」と評されるほどの技巧で成功を収めた。,ニコロ・パガニーニ,
13世紀のイギリスで作曲されたとされる最古のカノン。原題は「Sumer is icumen in」。,夏はきたりぬ,
フランスの作曲家。代表曲は『ベルガマスク組曲』『亜麻色の髪の乙女』『子供の領分』など。,クロード・ドビュッシー,
19世紀イタリアのオペラ作曲家。代表作は『愛の妙薬』や『ランメルムーアのルチア』など。,ガエターノ・ドニゼッティ,
ヴァイオリンの近代的な運弓法を確立した、イタリアの音楽家。代表曲はソナタ『悪魔のトリル』など。,ジュゼッペ・タルティーニ,
イギリスの劇作家。イギリス最初のオペラとされる『ロードス島の包囲』を製作した。,ウィリアム・ダヴェナント,
「チェコ国民音楽の父」とも呼ばれる、チェコの作曲家。オペラ『売られた花嫁』や交響詩組曲『わが祖国』などで知られる。,ベドルジハ・スメタナ,
ロシア生まれの作曲家。三大バレエ作品『火の鳥』『ペトルーシュカ』『春の祭典』などの作品で知られる。,イーゴリ・ストラヴィンスキー,
「マーチ王」と称されたアメリカの作曲家。チューバを改良して新たな楽器を作ったことでも知られる。代表曲は『エル・カピタン』『ワシントン・ポスト』『星条旗よ永遠なれ』など。,ジョン・フィリップ・スーザ,
イギリスの讃美歌作家。『アメリジング・グレイス』の作詞を手掛けた。,ジョン・ニュートン,
カトリック最大の作曲家。代表曲は『スタバト・マーテル』や『教皇マルチェルスのミサ曲』など。,ジョバンニ・ダ・パレストリーナ,
ロシアの作曲家。多くの交響曲やオペラ『鼻』などを制作した。,ドミートリイ・ショスタコーヴィチ,
同一旋律の模倣を行う模倣対位法の完成者とされる、ルネサンス最大の音楽家。,ジョスカン・デ・プレ,
アメリカの作曲家。代表作は『ポーギーとベス』や『ラプソディ・イン・ブルー』など。兄のアイラとは337もの曲を共同制作していた。,ジョージ・ガーシュウィン,
イタリアの作曲家。代表曲は『トランペット協奏曲』や『合奏協奏曲』など。バイオリンを独奏楽器として用いたことから独奏協奏曲様式の創始者とされる。,ジュゼッペ・トレッリ,
オーストリアの作曲家。代表曲は『未完成交響曲』『野ばら』『魔王』など。その作品はドイッチュ番号によって整理される。,フランツ・シューベルト,
フランスのオペラを確立した、フランスの作曲家。代表作はオペラ『テセウス』やバレエ『町人貴族』など。,ジャン・バティスト・リュリ,
フランスの作曲家。シャンソン『マリニャーノの戦い』や『鳥のうた』などが知られる。,クレマン・ジャヌカン,
新ウィーン楽派を創始した、オーストリアの作曲家。「十二音技法」を生み出して後世の音楽に大きな影響を与えた。代表曲は『月に憑かれたピエロ』など。,アルノルト・シェーンベルク,
モーツァルトを毒殺したと噂された、イタリア出身の作曲家。チェルニーやシューベルト、ベートーベンの師であることも知られる。,アントニオ・サリエリ,
フランスの作曲家。ギネスによって「世界一長い曲」と認定された『ヴェクサシオン』や『ジュ・トゥ・ヴ』などの作品で知られる。,エリック・サティ,
生前はバッハ以上の人気を誇った、ドイツの作曲家。代表曲は『ターフェルムジーク』など。,ゲオルク・フィリップ・テレマン,
アメリカの作曲家。東洋思想を取り入れた『易の音楽』や無音の『4分33秒』などの作品を制作した。,ジョン・ケージ,
近代ピアノ奏法の確立に貢献したイタリアの作曲家。晩年に書かれたピアノ教則本『グラドゥス・アド・パルナッスム』がよく知られる。,ムツィオ・クレメンティ,
ワーグナー以前の最大のオペラ改革者とされる、ドイツの作曲家。代表作は『オルフェオとエウリディーチェ』など。,クリストフ・ヴィリバルト・グルック,
16世紀スイスの音楽理論家。著書『ドデカコルドン』の中で、従来よりも4つ多い12の教会旋法を主張した。,グラレアーヌス,
16世紀イタリアの作曲家。さまざまな楽器の合奏による伴奏やヴァイオリンのトレモロ、ピチカートを初めて行ったことで知られる。代表作はオペラ『オルフェウス』など。,クラウディオ・モンテヴェルディ,
フランスの作曲家。代表作はオペラ『ファウスト』『ロミオとジュリエット』やバチカン市国の国家『讃歌と教皇の行進曲』など。,シャルル・グノー,
フランスの音楽家。一人の作曲家による通作ミサ曲としては最古となる『ノートルダム・ミサ』を作曲した。,ギヨーム・ド・マショー,
15世紀ブルゴーニュ楽派の音楽家。代表曲はミサの『顔が青ざめているなら』など。イギリスのダンスタブルらとともに循環ミサ曲の形式を確立した。,ギヨーム・デュファイ,
ロシア五人組の一人に数えられる作曲家。5人の主張を代弁する音楽批評家として活躍した。,ツェーザリ・キュイ,
イタリア語で「同僚」という意味を持つ、モノディ様式の歌曲やオペラを確立した芸術家のグループ。ガリレイやカッチーニらをメンバーとした。,カメラータ,
近代フランス器楽の発展を目指して国民音楽協会を創設した、フランスの作曲家。代表作はオペラ『サムソンとデリラ』や組曲『動物の謝肉祭』など。,カミーユ・サン＝サーンス,
カメラータの一員であった、イタリアの作曲家。最初のオラトリオとされる『霊と肉の劇』を制作した。,エミリオ・デ・カヴァリエーリ,
「ハンブルクのバッハ」や「ベルリンのバッハ」とも呼ばれるJ.S.バッハの次男。ゲオルク・フィリップ・テレマンがその名付け親になった。,カール・フィリップ・エマヌエル・バッハ,
初期フランドル楽派の作曲家。現存する最古のポリフォニーによるレクイエムを作曲した。,ヨハネス・オケヘム,
イギリスの作曲家。代表曲は『愛のあいさつ』や『威風堂々』など。,エドワード・エルガー,
標題音楽の基礎を築きロマン主義音楽の発展を導いた、代表曲に『幻想交響曲』や『ローマの謝肉祭』などがある、フランスの作曲家は誰でしょう？,エクトル・ベルリオーズ,
オーストリア・古典派の音楽家。代表作は『きらきら星変奏曲』『アイネ・クライネ・ナハトムジーク』やオペラ『ドン・ジョバンニ』『フィガロの結婚』『魔笛』、ハイドンに捧げられた『ハイドン・セット』など。その妻コンスタンツェは世界三大悪妻の一人に数えられる。,ヴォルフガング・アマデウス・モーツァルト,
オーストリアのリート作曲家。代表曲は『メーリケ歌曲集』『イタリア風セレナード』など。,フーゴ・ヴォルフ,
イタリアのオペラ作曲家。代表曲は『椿姫』や『アイーダ』など。イタリア第二の国家ともされる『ナブッコ』を作曲しイタリア独立運動にも力を尽くした。,ジュゼッペ・ヴェルディ,
